time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,6,4,0,0
2026-04-14 00:00:00+00:00,16,5,0,0
2026-04-15 00:00:00+00:00,27,7,0,0
2026-04-16 00:00:00+00:00,18,7,0,0
2026-04-17 00:00:00+00:00,25,7,0,0
2026-04-18 00:00:00+00:00,28,11,0,0
2026-04-19 00:00:00+00:00,64,31,0,0
2026-04-20 00:00:00+00:00,96,44,0,0
2026-04-21 00:00:00+00:00,67,28,0,0
2026-04-22 00:00:00+00:00,92,36,0,0
2026-04-23 00:00:00+00:00,134,41,0,0
2026-04-24 00:00:00+00:00,110,39,0,0
2026-04-25 00:00:00+00:00,69,27,0,0
2026-04-26 00:00:00+00:00,37,11,0,0
