time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-17 00:00:00+00:00,2.0,2.0,,
2025-10-18 00:00:00+00:00,13.0,3.0,,
2025-10-19 00:00:00+00:00,20.0,5.0,,
2025-10-20 00:00:00+00:00,2.0,2.0,,
2025-10-21 00:00:00+00:00,11.0,6.0,30.0,1.0
2025-10-22 00:00:00+00:00,12.0,7.0,25.0,1.0
2025-10-23 00:00:00+00:00,17.0,15.0,11.0,2.0
2025-10-24 00:00:00+00:00,32.0,18.0,20.0,1.0
2025-10-25 00:00:00+00:00,6.0,5.0,5.0,1.0
2025-10-26 00:00:00+00:00,7.0,2.0,5.0,1.0
2025-10-27 00:00:00+00:00,6.0,6.0,25.0,1.0
2025-10-28 00:00:00+00:00,6.0,4.0,2.0,1.0
2025-10-29 00:00:00+00:00,26.0,10.0,4.0,1.0
2025-10-30 00:00:00+00:00,,,1.0,1.0
